alarm_date,cont_date,gis_acres,cause_name,cause_category,subregion_id,subregion_name,subregion_area,road_distance,urban_distance,veg_level,build_density,pop_density
1980-08-15T00:00:00Z,NA,7.9662294,Debris,Human,1,North Coast and Montane,64191.163,5.6,48,3.0981,0.0247,2.7973
1980-08-15T00:00:00Z,1980-08-17T00:00:00Z,1443.4706,Arson,Human,1,North Coast and Montane,64191.163,0,55.1,0.6893,0.0446,1.5884
1980-08-17T00:00:00Z,NA,112.33785,Unknown / Unidentified,Other,7,South Coast and Montane,42488.862,2.1,0.1,0.0179,1.2609,705.9983
1980-08-18T00:00:00Z,1980-08-18T00:00:00Z,23.856861,Arson,Human,3,North Sierran,21000.148,13.6,11.3,0.8888,0.1244,26.2414
1980-08-19T00:00:00Z,NA,170.43144,Unknown / Unidentified,Other,5,Central Valley,74899.613,7.1,3.5,1.1844,0.1489,54.5641
1980-08-19T00:00:00Z,NA,6.6984653,Unknown / Unidentified,Other,5,Central Valley,74899.613,7.5,4,1.173,0.151,55.5923
1980-08-19T00:00:00Z,1980-08-20T00:00:00Z,58.980141,Miscellaneous,Other,4,South Sierran,31366.273,16.3,39.4,1.8949,0.0513,3.6394
1980-08-20T00:00:00Z,NA,7.1744523,Unknown / Unidentified,Other,7,South Coast and Montane,42488.862,0.1,5.2,0.0334,1.2972,562.7615
1980-08-20T00:00:00Z,NA,32.47686,Unknown / Unidentified,Other,7,South Coast and Montane,42488.862,4.7,20.3,0.0234,0.6944,266.6333
1980-08-21T00:00:00Z,NA,772.02222,Unknown / Unidentified,Other,6,Central Coast and Montane,38989.393,11.8,19.4,0.3349,0.09,15.5948
1980-08-22T00:00:00Z,NA,95.343414,Unknown / Unidentified,Other,5,Central Valley,74899.613,1.9,9.4,0.649,0.1131,22.4967
1980-08-23T00:00:00Z,1980-08-25T00:00:00Z,292.45004,Arson,Human,5,Central Valley,74899.613,25.8,26.2,1.9097,0.2864,64.0327
1980-08-25T00:00:00Z,NA,391.51205,Unknown / Unidentified,Other,6,Central Coast and Montane,38989.393,3.7,3.2,0.3501,0.2012,62.5949
1980-08-25T00:00:00Z,NA,200.93933,Unknown / Unidentified,Other,7,South Coast and Montane,42488.862,0.5,0,0.0401,1.7502,864.9308
1980-08-26T00:00:00Z,NA,41756.312,Unknown / Unidentified,Other,7,South Coast and Montane,42488.862,0.1,0,0.0687,0.5171,85.6949
1980-08-29T00:00:00Z,NA,354.59647,Unknown / Unidentified,Other,8,South Interior,103810.781,4.3,0,0.1555,0.515,48.9265
1980-08-31T00:00:00Z,NA,168.31082,Miscellaneous,Other,7,South Coast and Montane,42488.862,0,0,0.0171,1.304,744.0193
1980-09-01T00:00:00Z,NA,905.44275,Unknown / Unidentified,Other,1,North Coast and Montane,64191.163,2.9,8,0.43120000000000003,0.0979,12.8499
1980-09-01T00:00:00Z,NA,105.34367,Unknown / Unidentified,Other,7,South Coast and Montane,42488.862,4.9,3.3,0.0363,1.2604,444.6971
